name,ppg
Lamar Jackson (BAL),27.8
Christian McCaffrey (CAR),26.4
Deshaun Watson (HOU),22.8
Dak Prescott (DAL),22.7
Russell Wilson (SEA),22.6
Patrick Mahomes (KC),21.6
Matthew Stafford (DET),21.4
Josh Allen (BUF),20.7
Dalvin Cook (MIN),20.5
Kyler Murray (ARI),19.9
Jameis Winston (NO),19.4
Matt Ryan (ATL),19
Aaron Rodgers (GB),18.9
Michael Thomas (NO),18.3
David Blough (DET),18.3
Kirk Cousins (MIN),18
Derrick Henry (TEN),17.9
Tom Brady (TB),17.8
Chris Godwin (TB),17.2
Carson Wentz (PHI),17.1
New England Patriots (NE),17
Aaron Jones (GB),16.9
Ryan Tannehill (TEN),16.9
Austin Ekeler (LAC),16.7
Andy Dalton (DAL),16.5
Drew Brees (NO),16.5
Ezekiel Elliott (DAL),16.3
Gardner Minshew II (JAC),16.3
Sam Darnold (NYJ),16.3
Jimmy Garoppolo (SF),16.2
Nick Chubb (CLE),16.1
Leonard Fournette (JAC),16
Daniel Jones (NYG),16
Philip Rivers (IND),15.9
Jacoby Brissett (IND),15.8
Mike Evans (TB),15.6
Jeff Driskel (DEN),15.4
Mark Ingram II (BAL),15.1
Baker Mayfield (CLE),15.1
Jared Goff (LAR),15
Alvin Kamara (NO),14.8
Ryan Fitzpatrick (MIA),14.7
DeAndre Hopkins (ARI),14.6
Derek Carr (LV),14.6
Marcus Mariota (LV),14.4
Amari Cooper (DAL),14.3
Kenny Golladay (DET),14.2
John Ross (CIN),14.2
Chris Carson (SEA),14.2
D.J. Chark (JAC),14.1
Antonio Brown (FA),14.1
Austin Hooper (CLE),14.1
Josh Jacobs (LV),14.1
Julian Edelman (NE),14
Cooper Kupp (LAR),14
James Conner (PIT),14
Drew Lock (DEN),13.9
Davante Adams (GB),13.8
Tyreek Hill (KC),13.8
Julio Jones (ATL),13.7
Eli Manning (FA),13.5
Saquon Barkley (NYG),13.4
Kyle Allen (WAS),13.4
D.J. Moore (CAR),13.3
Mitch Trubisky (CHI),13.3
Marvin Jones (DET),13.1
Courtland Sutton (DEN),13.1
Keenan Allen (LAC),13
Jarvis Landry (CLE),13
John Brown (BUF),12.9
San Francisco 49ers (SF),12.8
Le'Veon Bell (NYJ),12.6
Todd Gurley (ATL),12.6
Marlon Mack (IND),12.6
Allen Robinson (CHI),12.5
Tyler Lockett (SEA),12.5
Calvin Ridley (ATL),12.5
Travis Kelce (KC),12.5
Golden Tate (NYG),12.4
Derrius Guice (FA),12.4
DeVante Parker (MIA),12.3
Michael Gallup (DAL),12.2
T.Y. Hilton (IND),12.2
Stefon Diggs (BUF),12.1
Melvin Gordon (DEN),12.1
Mason Rudolph (PIT),12.1
Pittsburgh Steelers (PIT),11.9
Adam Thielen (MIN),11.8
Jordan Howard (MIA),11.8
Robert Woods (LAR),11.7
Phillip Lindsay (DEN),11.7
Devin Singletary (BUF),11.7
Teddy Bridgewater (CAR),11.6
Sterling Shepard (NYG),11.5
George Kittle (SF),11.5
James White (NE),11.5
Tevin Coleman (SF),11.5
Brandon Allen (CIN),11.5
Christian Kirk (ARI),11.4
Mark Andrews (BAL),11.3
Hunter Henry (LAC),11.3
Younghoe Koo (ATL),11.3
Alshon Jeffery (PHI),11.2
Joe Flacco (NYJ),11.2
Will Fuller (HOU),11
Darren Waller (LV),11
Evan Engram (NYG),10.9
David Johnson (HOU),10.9
DeSean Jackson (PHI),10.8
Devonta Freeman (FA),10.7
Kerryon Johnson (DET),10.7
Marquise Brown (BAL),10.6
