"ADP","Player","Team","Position","CBS","ESPN","FFPC","BB10s","NFL","Y!","10-Team","12-Team"
"1","Christian McCaffrey","CAR","RB-1","1","1","1","1","1","1","1.01","1.01"
"2","Saquon Barkley","NYG","RB-2","2","2","2","2","2","2","1.02","1.02"
"3","Ezekiel Elliott","DAL","RB-3","3","3","3","3","4","3","1.03","1.03"
"4","Alvin Kamara","NO","RB-4","4","5","4","4","5","4","1.04","1.04"
"5","Michael Thomas","NO","WR-1","8","6","5","5","3","6","1.05","1.05"
"6","Dalvin Cook","MIN","RB-5","5","4","6","6","7","7","1.06","1.06"
"7","Derrick Henry","TEN","RB-6","6","7","8","7","6","5","1.07","1.07"
"8","Davante Adams","GB","WR-2","12","15","12","9","8","8","1.08","1.08"
"9","Clyde Edwards-Helaire","KC","RB-7","9","8","7","8","26","11","1.09","1.09"
"10","Nick Chubb","CLE","RB-8","13","9","19","16","14","13","1.10","1.10"
"11","Tyreek Hill","KC","WR-3","17","17","17","11","13","10","2.01","1.11"
"12","Patrick Mahomes","KC","QB-1","7","14","23","24","9","9","2.02","1.12"
"13","Josh Jacobs","LV","RB-9","11","11","13","18","17","19","2.03","2.01"
"14","Joe Mixon","CIN","RB-10","19","23","11","10","15","12","2.04","2.02"
"15","Miles Sanders","PHI","RB-11","16","10","10","13","22","21","2.05","2.03"
"16","Julio Jones","ATL","WR-4","15","18","20","14","12","14","2.06","2.04"
"17","Travis Kelce","KC","TE-1","18","20","9","12","18","18","2.07","2.05"
"18","Lamar Jackson","BAL","QB-2","10","19","24","23","10","15","2.08","2.06"
"19","DeAndre Hopkins","ARI","WR-5","21","12","21","19","11","17","2.09","2.07"
"20","Kenyan Drake","ARI","RB-12","22","16","15","15","23","16","2.10","2.08"
"21","Austin Ekeler","LAC","RB-13","14","21","16","21","16","23","3.01","2.09"
"22","Aaron Jones","GB","RB-14","20","13","18","20","20","22","3.02","2.10"
"23","George Kittle","SF","TE-2","23","25","14","17","21","20","3.03","2.11"
"24","Chris Godwin","TB","WR-6","24","22","22","22","19","24","3.04","2.12"
"25","Kenny Golladay","DET","WR-7","26","26","26","25","25","25","3.05","3.01"
"26","Mike Evans","TB","WR-8","28","24","28","26","24","26","3.06","3.02"
"27","Amari Cooper","DAL","WR-9","39","28","34","30","27","36","3.07","3.03"
"28","Adam Thielen","MIN","WR-10","33","27","41","33","31","30","3.08","3.04"
"29","Todd Gurley","ATL","RB-15","29","32","31","45","29","32","3.09","3.05"
"30","Allen Robinson","CHI","WR-11","49","34","33","27","30","27","3.10","3.06"
"31","Chris Carson","SEA","RB-16","30","31","32","50","28","31","4.01","3.07"
"32","D.J. Moore","CAR","WR-12","42","29","35","28","32","38","4.02","3.08"
"33","James Conner","PIT","RB-17","25","46","25","43","40","29","4.03","3.09"
"34","Odell Beckham","CLE","WR-13","43","33","38","29","37","28","4.04","3.10"
"35","JuJu Smith-Schuster","PIT","WR-14","34","30","36","31","45","34","4.05","3.11"
"36","Mark Andrews","BAL","TE-3","46","36","27","32","41","35","4.06","3.12"
"37","Zach Ertz","PHI","TE-4","37","35","30","36","42","43","4.07","4.01"
"38","Cooper Kupp","LAR","WR-15","31","43","45","34","33","45","4.08","4.02"
"39","Melvin Gordon","DEN","RB-18","36","48","37","51","34","33","4.09","4.03"
"40","Calvin Ridley","ATL","WR-16","40","40","42","35","46","47","4.10","4.04"
"41","Le'Veon Bell","NYJ","RB-19","32","44","39","54","39","44","5.01","4.05"
"42","Dak Prescott","DAL","QB-3","27","50","61","39","43","42","5.02","4.06"
"43","A.J. Brown","TEN","WR-17","52","42","44","37","50","39","5.03","4.07"
"44","Leonard Fournette","TB","RB-20","50","61","43","41","36","46","5.04","4.08"
"45","David Johnson","HOU","RB-21","35","39","40","56","52","56","5.05","4.09"
"46","Jonathan Taylor","IND","RB-22","51","51","29","44","71","37","5.06","4.10"
"47","Russell Wilson","SEA","QB-4","41","47","73","46","35","41","5.07","4.11"
"48","Deshaun Watson","HOU","QB-5","38","37","71","48","38","52","5.08","4.12"
"49","Tyler Lockett","SEA","WR-18","45","41","56","52","44","50","5.09","5.01"
"50","Robert Woods","LAR","WR-19","47","45","46","38","53","64","5.10","5.02"
"51","Kyler Murray","ARI","QB-6","53","49","65","42","49","49","6.01","5.03"
"52","Darren Waller","LV","TE-5","55","54","47","40","55","57","6.02","5.04"
"53","Courtland Sutton","DEN","WR-20","62","38","48","53","54","55","6.03","5.05"
"54","Mark Ingram","BAL","RB-23","44","63","57","65","48","40","6.04","5.06"
"55","DK Metcalf","SEA","WR-21","60","53","53","47","51","53","6.05","5.07"
"56","Keenan Allen","LAC","WR-22","48","52","59","57","47","60","6.06","5.08"
"57","D.J. Chark","JAX","WR-23","71","59","55","49","58","54","6.07","5.09"
"58","Terry McLaurin","WAS","WR-24","61","57","49","55","79","48","6.08","5.10"
"59","Devin Singletary","BUF","RB-24","54","56","58","67","56","58","6.09","5.11"
"60","Raheem Mostert","SF","RB-25","56","69","51","60","81","51","6.10","5.12"
"61","T.Y. Hilton","IND","WR-25","57","55","69","71","63","66","7.01","6.01"
"62","Stefon Diggs","BUF","WR-26","63","60","68","70","60","67","7.02","6.02"
"63","Evan Engram","NYG","TE-6","73","62","63","59","57","84","7.03","6.03"
"64","Cam Akers","LAR","RB-26","64","66","50","64","95","70","7.04","6.04"
"65","Kareem Hunt","CLE","RB-27","67","65","52","63","88","74","7.05","6.05"
"66","D'Andre Swift","DET","RB-28","72","64","54","66","99","63","7.06","6.06"
"67","DeVante Parker","MIA","WR-27","79","70","66","61","83","61","7.07","6.07"
"68","David Montgomery","CHI","RB-29","80","72","62","68","82","59","7.08","6.08"
"69","Marquise Brown","BAL","WR-28","66","73","67","62","84","80","7.09","6.09"
"70","Michael Gallup","DAL","WR-29","75","74","70","72","76","76","7.10","6.10"
