Player,Team,REC,YDS,TDS,FL,FPTS,high,low
Travis Kelce,KC,93.3,1140.4,7.7,0.5,206.1,212.7,204.2
George Kittle,SF,88.6,1088.9,6.5,0.5,191,202.3,176.4
Zach Ertz,PHI,84.6,882.7,6.5,0.5,168.8,185.9,153.2
Mark Andrews,BAL,61.5,820.3,7.5,0.5,157,167.8,148.5
Darren Waller,LV,74.5,884.7,4.6,0.5,152.5,163.4,144.7
Evan Engram,NYG,65.1,749.5,5,0.5,136.6,144.5,126.6
Hunter Henry,LAC,60.4,710.4,5.2,0.5,131.7,144.7,115.8
Tyler Higbee,LAR,63.2,714.6,4.5,0.5,129,140.4,119.3
Jared Cook,NO,48.5,649,5.5,0,122,134.1,110.2
Hayden Hurst,ATL,57.2,650.8,4.5,0.5,119.5,133.8,102.7
Noah Fant,DEN,51.1,654.1,4.5,0.5,117.2,134.4,110.8
Mike Gesicki,MIA,58.5,638.2,4.3,1,116.7,120.9,117
Austin Hooper,CLE,56.1,629.2,4.4,0.5,116.5,132,110.6
Rob Gronkowski,TB,47.1,658,4.6,0.5,115.9,132.2,107.6
Chris Herndon IV,NYJ,49.2,579.5,4.9,0,112,119.5,99.2
Jonnu Smith,TEN,47.2,557.4,4.7,0.5,106.5,120.8,92.4
Dallas Goedert,PHI,52.6,542.6,4.4,0.5,106,110.1,103.1
T.J. Hockenson,DET,52.8,597.8,3.4,0.5,105.8,109.9,99.1
