Player,Team,REC,YDS,TDS,ATT,YDS,TDS,FL,FPTS,high,low
Michael Thomas,NO,127.9,1521.9,9,0.3,0.9,0,0.5,269.2,278.6,267
Davante Adams,GB,106.3,1337.7,10,0,0,0,0.5,245.7,255.4,240.4
Julio Jones,ATL,102.3,1441.4,6.8,0.8,2.1,0,0.5,235.2,244.4,224.7
Tyreek Hill,KC,81.9,1195.3,8.4,9.8,59.3,0.4,0.5,218,238,208.3
DeAndre Hopkins,ARI,96.6,1197.1,7.6,0.5,2.5,0,0.5,212.9,221,209.5
Chris Godwin,TB,83.2,1206,7.7,1.1,6.6,0.1,0.5,208.6,220.3,194
Kenny Golladay,DET,73.5,1168.1,7.9,0.3,1.7,0,0.5,200.2,215.1,184.1
D.J. Moore,CAR,85.8,1181.2,5.7,5.4,49.1,0.1,1,198.5,213.9,187.4
Robert Woods,LAR,87.6,1099.3,5.1,13.9,89.6,0.8,0.5,197.5,208.7,187.6
Mike Evans,TB,74.4,1166,7.4,0.5,3.1,0,0.5,197.4,206.1,181.3
Cooper Kupp,LAR,85.2,1066.2,7.5,1.3,5.7,0,0.5,193.9,207,181.1
Amari Cooper,DAL,77.5,1102.2,7.3,0.7,4.7,0,0.5,192.1,196.8,189.2
Calvin Ridley,ATL,78.6,1059.4,7.5,1.7,23,0,0.5,191.5,197.4,185.9
Adam Thielen,MIN,77.6,1064.1,7.1,3.9,18.8,0.4,0.5,191,200.8,179.6
Allen Robinson,CHI,87.2,1086.7,6.4,1.3,8,0.1,0.5,191,198.8,188.1
Keenan Allen,LAC,85.2,1036.8,6,4.9,34.1,0.1,0.5,185.8,199.4,171.1
A.J. Brown,TEN,63.9,1080.4,6.5,4.5,42.6,0.4,0.5,184.4,193.9,179.3
JuJu Smith-Schuster,PIT,83.5,1068.9,6.1,0.3,2.7,0,0.5,184.3,204,145.2
Odell Beckham Jr.,CLE,75.6,1075.5,6.4,2.7,13.2,0,0.5,184,196.4,164.8
DeVante Parker,MIA,72.7,1080.2,6.2,0.4,2.6,0,0.5,180.6,197.1,170.7
