Position,Rank,Name,Team,Bye,ECR,ECR vs ADP,ECR Tier,Elite,Start,Played,Low Value,Mean Value,High Value,Value Tier,$Low,$Mean,$High,PS,StdDev
QB,1,Patrick Mahomes,KC,12,34.6,-0.92,5,10,13,15,3.9,20.4,104.9,1.0,-0.9,-4.7,-24.2,0.81,64.71083506
QB,2,Deshaun Watson,HOU,10,51.6,-0.33,8,5,9,15,1.3,11.5,61.2,1.0,-0.3,-2.7,-14.1,0.71,37.94176962
QB,3,Ben Roethlisberger,PIT,7,113.1,0.42,15,5,8,15,-0.3,10.9,70.7,1.0,0.1,-2.5,-16.3,0.61,30.47814615
QB,4,Jameis Winston,TB,7,100.7,1.42,15,1,4,10,0.0,10.5,66.6,1.0,0.0,-2.4,-15.4,0.52,32.43503261
QB,5,Matt Ryan,ATL,9,70.6,0.17,11,6,10,15,0.7,10.2,58.0,1.0,-0.2,-2.4,-13.4,0.42,36.34198285
QB,6,Aaron Rodgers,GB,11,57.5,-0.42,8,4,8,15,1.2,9.4,49.1,1.0,-0.3,-2.2,-11.3,0.34,30.82420727
QB,7,Baker Mayfield,CLE,7,68.6,-0.25,11,3,4,13,0.4,9.1,52.3,1.0,-0.1,-2.1,-12.1,0.25,14.96798972
QB,8,Carson Wentz,PHI,10,83.2,0.17,13,2,7,11,0.8,8.9,49.1,1.0,-0.2,-2.1,-11.3,0.17,16.718659
QB,9,Jared Goff,LAR,9,98.0,0.17,14,5,6,15,0.5,5.0,27.0,1.0,-0.1,-1.2,-6.2,0.13,6.755524341
QB,10,Tom Brady,NE,10,134.3,-0.17,20,2,7,15,-1.0,4.1,27.5,1.0,0.2,-0.9,-6.4,0.09,4.996883639
QB,11,Drew Brees,NO,9,96.4,-1.67,14,6,7,15,-0.5,3.3,17.9,1.0,0.1,-0.8,-4.1,0.06,9.409852571
QB,12,Philip Rivers,LAC,12,123.4,0.50,16,3,8,15,-1.2,2.9,20.0,1.0,0.3,-0.7,-4.6,0.04,7.632795626
QB,13,Jimmy Garoppolo,SF,4,152.8,2.33,20,0,1,3,-4.2,2.6,28.6,1.0,1.0,-0.6,-6.6,0.01,46.69449376
QB,14,Kyler Murray,ARI,12,105.5,0.33,15,0,0,0,-3.4,1.3,12.0,1.0,0.8,-0.3,-2.8,0.00,23.29844314
QB,15,Mitchell Trubisky,CHI,6,134.6,2.00,18,4,6,13,-1.9,-0.3,0.7,1.0,0.4,0.1,-0.2,0.00,18.17396351
QB,16,Cam Newton,CAR,7,84.6,1.00,12,4,8,14,-8.6,-1.0,1.8,1.0,2.0,0.2,-0.4,0.00,9.531870457
QB,17,Russell Wilson,SEA,11,86.8,0.67,12,4,11,15,-21.9,-1.9,3.7,1.0,5.1,0.4,-0.9,0.00,0.860469319
QB,18,Lamar Jackson,BAL,8,111.8,1.25,16,0,1,15,-12.5,-2.2,0.8,1.0,2.9,0.5,-0.2,0.00,43.61786581
QB,19,Dak Prescott,DAL,8,113.8,2.50,16,3,6,15,-16.1,-2.6,0.7,1.0,3.7,0.6,-0.2,0.00,17.34791108
QB,20,Derek Carr,OAK,6,178.6,0.33,23,3,4,15,-13.9,-4.1,-1.5,1.0,3.2,0.9,0.3,0.00,19.3044029
QB,21,Kirk Cousins,MIN,12,133.6,1.42,18,3,6,15,-28.1,-4.3,0.8,1.0,6.5,1.0,-0.2,0.00,12.444939
QB,22,Matthew Stafford,DET,5,172.6,2.33,23,1,3,15,-24.9,-5.5,-1.0,1.0,5.8,1.3,0.2,0.00,7.132408309
QB,23,Andy Dalton,CIN,9,192.9,2.58,24,2,4,11,-30.8,-6.9,-0.8,1.0,7.1,1.6,0.2,0.00,14.33517641
QB,24,Josh Allen,BUF,6,139.6,3.58,20,2,3,11,-39.5,-7.2,0.3,1.0,9.1,1.7,-0.1,0.00,20.38022637
QB,25,Sam Darnold,NYJ,4,160.5,3.00,23,1,3,12,-33.9,-7.8,-2.0,1.0,7.8,1.8,0.5,0.00,18.42868257
QB,26,Nick Foles,JAX,10,199.5,0.33,25,1,1,4,-40.7,-9.3,-1.8,2.0,9.4,2.2,0.4,0.00,38.05670341
QB,27,Jacoby Brissett,IND,6,181.4,7.25,#N/A,0,0,4,-68.6,-14.6,-0.8,2.0,15.8,3.4,0.2,0.00,23.90415947
QB,28,Marcus Mariota,TEN,11,212.3,-0.67,25,2,5,14,-85.8,-17.7,-2.2,2.0,19.8,4.1,0.5,0.00,55.40401051
QB,29,Chad Kelly,IND,6,#N/A,#N/A,#N/A,0,0,1,-20.7,-18.7,-15.6,2.0,4.8,4.3,3.6,0.00,85.08661654
QB,30,Nick Mullens,SF,4,376.0,46.50,#N/A,0,2,7,-20.5,-19.0,-16.3,2.0,4.7,4.4,3.8,0.00,78.65217762
QB,31,Robert Griffin,BAL,8,#N/A,#N/A,#N/A,0,0,0,-20.4,-19.2,-16.9,2.0,4.7,4.4,3.9,0.00,232.1740125
