rank,name,team,age,target,rec,touch,yds/touch,scrimmage_yds,td
535,Philip Rivers,LAC,37,0,0,18,0.4,7,0
482,C.J. Prosise,SEA,24,3,3,4,4.8,19,0
477,Eli Manning,NYG,37,0,0,15,1.3,20,1
465,Drew Brees,NO,39,1,1,32,0.7,23,4
458,Nick Foles,PHI,29,1,1,10,2.7,27,0
451,Josh McCown,NYJ,39,0,0,5,6.4,32,0
449,Jimmy Garoppolo,SF,27,0,0,8,4.1,33,0
441,Tyler Kroft,CIN,26,6,4,4,9,36,0
435,Derek Carr,OAK,27,1,1,25,1.5,38,1
426,Tom Brady,NE,41,1,1,24,1.7,41,2
419,Joe Flacco,BAL,33,0,0,19,2.4,45,0
417,Adam Shaheen,CHI,24,6,5,5,9.6,48,1
413,Mike Boone,MIN,23,3,2,13,3.7,48,0
383,Matthew Stafford,DET,30,0,0,25,2.8,71,0
359,Austin Seferian-Jenkins,JAX,26,19,11,11,8.2,90,1
355,Devonta Freeman,ATL,26,7,5,19,4.8,91,0
354,Kevin White,CHI,26,8,4,4,23,92,0
353,Case Keenum,DEN,30,0,0,26,3.6,93,2
350,Jermaine Gresham,ARI,30,12,9,9,10.4,94,0
347,Carson Wentz,PHI,26,1,1,35,2.8,97,0
346,Ben Roethlisberger,PIT,36,1,1,32,3,97,3
341,Andy Dalton,CIN,31,0,0,16,6.2,99,0
336,John Kelly,LAR,22,3,2,29,3.5,101,0
331,Dontrell Hilliard,CLE,23,10,9,9,11.7,105,0
329,Jared Goff,LAR,24,0,0,43,2.5,108,2
321,Josh Johnson,WAS,32,0,0,23,5.2,120,1
320,Kirk Cousins,MIN,30,1,1,45,2.7,122,1
317,Tyrod Taylor,CLE,29,0,0,16,7.8,125,1
316,Matt Ryan,ATL,33,1,1,34,3.8,130,4
313,Baker Mayfield,CLE,23,1,0,39,3.4,131,0
307,Josh Rose,ARI,21,0,0,23,6,138,0
306,Sam Darnold,NYJ,21,0,0,44,3.1,138,1
303,Ryan Tannehill,MIA,30,1,1,33,4.5,148,1
300,Maxx Williams,BAL,24,17,16,19,7.9,151,1
299,Andrew Luck,IND,29,2,1,47,3.2,152,0
298,Ryan Fitzpatrick,TB,36,0,0,36,4.2,152,2
297,Ed Dickson,SEA,31,13,12,13,11.7,152,3
296,Dwayne Washington,NO,24,0,0,27,5.7,154,0
295,Marcell Ateman,OAK,24,31,15,15,10.3,154,1
294,Will Dissly,SEA,22,14,8,8,19.5,156,2
293,Cody Core,CIN,24,28,13,13,12.3,160,1
290,Hayden Hurst,BAL,25,23,13,14,11.6,163,1
289,Demetrius Harris,KC,27,25,12,12,13.7,164,3
288,Luke Stocker,TEN,30,21,15,16,10.3,165,2
287,Brian Hill,ATL,23,2,1,21,7.9,166,0
286,Jaron Brown,SEA,28,19,14,14,11.9,166,5
285,Alex Smith,WAS,34,0,0,41,4.1,168,1
284,Lance Kendricks,GB,30,25,19,19,8.9,170,1
283,DJ Chark,JAX,22,32,14,14,12.4,174,0
