Name,Pos,Tm/Bye,Average,Stdev,Rank,Tier,ECR,ECRAvg,ADP,ECR vs. ADP,PS,Baseline
Lamar Jackson,QB,BAL/8,6.27,0.89,1.0,1.0,3|06,30.3,21.0,-0.5,0.79,QB:15
Patrick Mahomes,QB,KC/10,5.27,1.24,2.0,1.0,3|03,27.5,18.0,-0.5,0.62,RB:46
Dak Prescott,QB,DAL/10,3.4,0.93,3.0,2.0,5|07,55.6,47.0,-0.4166666666666667,0.5,WR:55
Deshaun Watson,QB,HOU/8,3.06,0.74,4.0,2.0,6|03,63.5,59.0,-0.08333333333333333,0.4,TE:18
Russell Wilson,QB,SEA/6,2.63,0.87,5.0,2.0,5|12,60.6,52.0,-0.75,0.32,
Kyler Murray,QB,ARI/8,2.46,1.07,6.0,2.0,6|01,61.9,58.0,0.0,0.23,
Josh Allen,QB,BUF/11,1.62,0.84,7.0,3.0,7|05,77.2,69.0,-0.4166666666666667,0.18,
Matt Ryan,QB,ATL/10,1.11,0.64,8.0,3.0,7|06,78.6,76.0,0.08333333333333333,0.14,
Carson Wentz,QB,PHI/9,1.1,0.57,9.0,3.0,8|03,87.6,89.0,0.75,0.11,
Tom Brady,QB,TB/13,1.07,0.93,10.0,3.0,8|07,91.9,83.0,-0.16666666666666666,0.07,
Drew Brees,QB,NO/6,0.97,0.66,11.0,3.0,8|05,89.7,73.0,-0.75,0.04,
Aaron Rodgers,QB,GB/5,0.66,0.49,12.0,3.0,9|08,104.1,85.0,-1.0,0.02,
Daniel Jones,QB,NYG/11,0.35,0.62,13.0,3.0,10|06,114.0,134.0,2.0,0.01,
Matthew Stafford,QB,DET/5,0.21,0.65,14.0,3.0,9|01,97.0,99.0,0.6666666666666666,0.0,
Cam Newton,QB,NE/6,-0.13,1.35,15.0,3.0,10|06,114.6,159.0,3.8333333333333335,0.0,
Ryan Tannehill,QB,TEN/7,-0.22,0.46,16.0,3.0,11|10,130.4,142.0,1.0833333333333333,0.0,
Jared Goff,QB,LAR/9,-0.33,0.46,17.0,3.0,10|12,120.5,143.0,2.1666666666666665,0.0,
Ben Roethlisberger,QB,PIT/8,-0.74,0.6,18.0,4.0,10|07,115.4,115.0,0.08333333333333333,0.0,
Gardner Minshew,QB,JAX/7,-0.75,0.99,19.0,4.0,12|12,144.6,141.0,0.16666666666666666,0.0,
Joe Burrow,QB,CIN/9,-0.77,0.78,20.0,4.0,11|12,132.6,131.0,-0.08333333333333333,0.0,
Kirk Cousins,QB,MIN/7,-0.85,0.49,21.0,4.0,13|04,148.3,163.0,1.25,0.0,
Baker Mayfield,QB,CLE/9,-0.89,0.77,22.0,4.0,11|05,125.2,124.0,-0.16666666666666666,0.0,
Jimmy Garoppolo,QB,SF/11,-1.39,1.05,23.0,4.0,13|10,154.1,137.0,-0.75,0.0,
Philip Rivers,QB,IND/7,-1.78,0.73,24.0,4.0,14|04,160.8,149.0,-1.0,0.0,
Drew Lock,QB,DEN/8,-1.9,0.85,25.0,4.0,14|04,160.6,160.0,-0.16666666666666666,0.0,
Derek Carr,QB,LV/6,-1.97,1.36,26.0,4.0,16|04,184.1,170.0,-0.6666666666666666,0.0,
Teddy Bridgewater,QB,CAR/13,-2.28,1.23,27.0,4.0,14|09,165.7,161.0,0.4166666666666667,0.0,
Sam Darnold,QB,NYJ/11,-2.39,0.78,28.0,4.0,15|12,180.6,196.0,1.75,0.0,
Dwayne Haskins,QB,WAS/8,-4.26,1.62,29.0,5.0,19|08,224.3,284.0,5.75,0.0,
Tyrod Taylor,QB,LAC/10,-4.8,2.71,30.0,5.0,18|11,215.1,254.0,3.5,0.0,
Ryan Fitzpatrick,QB,MIA/11,-7.23,1.98,31.0,6.0,20|10,238.1,246.0,0.9166666666666666,0.0,
Nick Foles,QB,CHI/11,-7.41,2.26,32.0,6.0,22|04,256.4,312.0,4.5,0.0,
Mitchell Trubisky,QB,CHI/11,-8.62,3.15,33.0,7.0,23|11,275.4,323.0,4.25,0.0,
Tua Tagovailoa,QB,MIA/11,-8.66,3.45,34.0,7.0,23|08,272.0,185.0,-7.333333333333332,0.0,
Justin Herbert,QB,LAC/10,-10.2,2.02,35.0,8.0,25|04,292.4,306.0,0.16666666666666666,0.0,
Jameis Winston,QB,NO/6,-11.68,3.18,36.0,8.0,27|11,323.5,346.0,-0.25,0.0,
Marcus Mariota,QB,LV/6,-12.62,1.63,37.0,9.0,28|04,328.5,334.0,-2.083333333333333,0.0,
Taysom Hill,QB,NO/6,-13.28,1.56,38.0,9.0,,,,,0.0,
Kyle Allen,QB,WAS/8,-13.7,2.61,40.0,9.0,27|12,324.8,366.0,-5.083333333333333,0.0,
Jarrett Stidham,QB,NE/6,-13.83,2.54,41.0,9.0,26|07,307.6,299.0,-2.833333333333333,0.0,
Christian McCaffrey,RB,CAR/13,14.07,1.69,1.0,1.0,1|01,1.1,1.0,0.0,0.93,
Saquon Barkley,RB,NYG/11,10.99,1.13,2.0,2.0,1|02,2.2,2.0,0.0,0.88,
Ezekiel Elliott,RB,DAL/10,10.72,0.71,3.0,2.0,1|03,3.1,3.0,0.0,0.83,
Derrick Henry,RB,TEN/7,9.5,0.78,4.0,3.0,1|07,7.1,6.0,0.0,0.79,
Dalvin Cook,RB,MIN/7,9.37,1.22,5.0,3.0,1|06,6.6,7.0,0.16666666666666666,0.74,
Alvin Kamara,RB,NO/6,9.14,1.0,6.0,3.0,1|04,4.7,5.0,0.08333333333333333,0.7,
Clyde Edwards-Helaire,RB,KC/10,8.29,0.95,7.0,3.0,1|10,10.8,17.0,0.6666666666666666,0.66,
Joe Mixon,RB,CIN/9,7.86,0.9,8.0,4.0,1|12,12.6,9.0,-0.08333333333333333,0.62,
Aaron Jones,RB,GB/5,7.84,0.91,9.0,4.0,2|09,21.6,22.0,0.0,0.59,
Josh Jacobs,RB,LV/6,7.57,0.97,10.0,4.0,2|04,16.8,15.0,0.0,0.55,
Nick Chubb,RB,CLE/9,7.55,0.82,11.0,4.0,2|04,16.6,12.0,-0.16666666666666666,0.51,
Miles Sanders,RB,PHI/9,7.54,0.86,12.0,4.0,2|04,16.0,23.0,0.8333333333333334,0.48,
Kenyan Drake,RB,ARI/8,7.32,0.91,13.0,4.0,2|06,18.5,14.0,-0.25,0.44,
Austin Ekeler,RB,LAC/10,7.2,0.93,14.0,4.0,2|07,19.1,24.0,0.5,0.41,
Chris Carson,RB,SEA/6,5.97,1.0,15.0,5.0,3|08,32.7,33.0,0.4166666666666667,0.38,
