rank,name,adp
1,Saquon Barkley,1.5
2,Christian McCaffrey,2.9
3,Alvin Kamara,3.2
4,Ezekiel Elliott O,3.7
5,DeAndre Hopkins,5.7
6,David Johnson,6.4
7,Nick Chubb,7.3
8,Le'Veon Bell,7.6
9,Davante Adams,9.2
10,James Conner,9.4
11,Todd Gurley,11.5
12,Julio Jones,12.2
13,Michael Thomas,13.5
14,Tyreek Hill,14.3
15,Dalvin Cook,14.5
16,Joe Mixon,15
17,Patrick Mahomes,16.3
18,Odell Beckham Jr,16.5
19,JuJu Smith-Schuster,17.7
20,Travis Kelce,18.8
21,Leonard Fournette,21.2
22,Damien Williams,21.4
23,Mike Evans,21.7
24,Antonio Brown P,23.2
25,Adam Thielen,25.3
26,Kerryon Johnson,26.1
27,Devonta Freeman,27.1
28,Aaron Jones,27.8
29,Chris Carson,28
30,Keenan Allen,29.1
31,Josh Jacobs,31.1
32,David Montgomery,31.9
33,George Kittle P,32.7
34,Melvin Gordon O,34.7
35,Amari Cooper,34.8
36,Derrick Henry P,35.1
37,Stefon Diggs,37
38,Sony Michel,37.8
39,Zach Ertz,38.5
40,Mark Ingram,38.9
41,Brandin Cooks,40.6
42,Julian Edelman,42.8
43,Robert Woods,42.9
44,Chris Godwin,43.6
45,Marlon Mack,43.8
46,Phillip Lindsay P,44.5
47,Deshaun Watson,44.9
48,Tyler Lockett,45.4
49,Tevin Coleman,49.7
50,Kenny Golladay,50.2
51,Cooper Kupp P,51.5
51,Miles Sanders,51.5
53,T.Y. Hilton,51.9
54,AJ Green O,52.5
55,Aaron Rodgers,52.6
56,Mike Williams,53.8
57,Calvin Ridley,55.3
58,OJ Howard,55.7
59,Lamar Miller IR,57.8
60,Tyler Boyd,58.3
61,Austin Ekeler,59.3
62,Evan Engram,59.7
63,James White,60.7
64,Baker Mayfield,61.9
65,Hunter Henry,62.9
66,D.J. Moore,63.9
67,Derrius Guice Q,64.1
68,Latavius Murray,64.9
69,Josh Gordon,66.9
70,Robby Anderson,67.1
71,Matt Ryan,68.3
71,Alshon Jeffery,68.3
73,Jarvis Landry,69.4
74,Carson Wentz,72.4
75,Jared Cook,72.9
76,Will Fuller P,74.6
77,Drew Brees,74.8
78,Allen Robinson,77.1
78,Tarik Cohen,77.1
80,Kenyan Drake Q,77.3
81,Vance McDonald,79.2
82,Curtis Samuel,80.6
83,Andrew Luck,81.2
84,Rashaad Penny,81.6
85,Darrell Henderson,83.1
86,Christian Kirk,83.3
87,Dede Westbrook,84.1
88,Russell Wilson,85.6
89,Eric Ebron,86.7
90,Jordan Howard,87
91,Kalen Ballage,87.8
92,Marvin Jones,89
93,Chicago Bears,89.8
94,Royce Freeman,90.1
95,Kareem Hunt,90.2
96,Jared Goff,90.6
97,Sammy Watkins,92
98,Cam Newton P,92.4
99,David Njoku,93.7
100,Duke Johnson,94.8
101,LeSean McCoy,96.3
102,Dante Pettis,96.5
103,Emmanuel Sanders P,97.6
104,Sterling Shepard P,98.1
105,Matt Breida,98.5
106,Marquez Valdes-Scantling,98.7
107,Adrian Peterson,99
108,Darwin Thompson,99.6
109,Kyler Murray,101.2
110,Geronimo Allison,104.1
111,Philip Rivers,105.7
112,Peyton Barber,106
113,James Washington,106.9
114,Corey Davis,107.3
115,Lamar Jackson,108.8
116,Los Angeles Rams,109.6
117,Larry Fitzgerald,110.4
118,Delanie Walker,110.5
