Rush,Team,Pass,Drives,Yds/Dr,Pts/Dr,rushing_plays,rushing_plays_rank,passing_plays,passing_plays_rank,yds_per_week,pts_per_week,fp_per_week
1,LAR,6,175,38.99,2.79,437,9,600,14,426.45,30.52,73.16
16,KC,5,163,41.53,3.25,350,29,621,9,423.09,33.11,75.42
31,TB,15,179,36.93,2.17,385,21,661,4,413.15,24.28,65.59
15,PIT,4,174,37.68,2.32,341,31,726,1,409.77,25.23,66.21
3,NE,1,176,35.83,2.32,474,3,600,13,394.13,25.52,64.93
24,ATL,14,165,37.97,2.42,346,30,643,5,391.57,24.96,64.11
2,NO,3,155,39.89,3.21,442,7,547,23,386.43,31.10,69.74
4,IND,2,176,35.07,2.46,402,17,679,2,385.77,27.06,65.64
11,CAR,10,166,35.83,2.21,410,14,586,15,371.74,22.93,60.10
9,BAL,8,174,34.16,2.08,495,2,567,18,371.49,22.62,59.77
18,CLE,16,195,30.31,1.83,412,13,602,12,369.40,22.30,59.24
7,GB,21,174,33.87,2.08,334,32,670,3,368.34,22.62,59.45
27,HOU,32,179,32.7,2.09,468,5,537,25,365.83,23.38,59.97
10,SF,22,173,33.73,1.88,415,12,563,20,364.71,20.33,56.80
19,PHI,17,174,33.52,2.11,399,18,626,8,364.53,22.95,59.40
5,LAC,13,167,34.84,2.43,378,23,494,29,363.64,25.36,61.73
28,CHI,7,173,33.08,2.17,457,6,554,22,357.68,23.46,59.23
12,SEA,30,176,32.41,2.36,537,1,449,31,356.51,25.96,61.61
29,NYG,20,172,32.81,2.02,360,26,606,11,352.71,21.72,56.99
6,DEN,11,180,30.54,1.75,390,19,629,7,343.58,19.69,54.05
23,MIN,9,185,29.34,1.83,356,27,630,6,339.24,21.16,55.08
20,DET,12,168,32.07,1.85,407,15,610,10,336.74,19.43,53.10
8,DAL,28,161,33.35,2.06,438,8,563,19,335.58,20.73,54.29
13,OAK,25,170,30.8,1.62,384,22,578,17,327.25,17.21,49.94
17,TEN,29,162,30.35,1.79,428,10,432,32,307.29,18.12,48.85
22,CIN,19,164,29.97,2.03,363,24,579,16,307.19,20.81,51.53
30,BUF,23,191,25.12,1.4,469,4,534,26,299.87,16.71,46.70
26,WAS,24,165,28.2,1.66,387,20,508,28,290.81,17.12,46.20
21,JAX,27,177,26.23,1.24,416,11,555,21,290.17,13.72,42.73
32,NYJ,18,192,23.99,1.55,404,16,540,24,287.88,18.60,47.39
14,MIA,31,176,25.73,1.61,360,25,483,30,283.03,17.71,46.01
25,ARI,26,181,21.18,1.12,355,28,519,27,239.60,12.67,36.63
