rank,name,adp
1,Saquon Barkley,1
3,Alvin Kamara,2
2,Christian McCaffrey,3
4,Ezekiel Elliott,4
6,David Johnson,5
5,DeAndre Hopkins,6
7,LeVeon Bell,7
8,Davante Adams,8
15,Nick Chubb,9
12,James Conner,10
9,Julio Jones,11
13,Odell Beckham,12
10,Michael Thomas,13
11,Travis Kelce,14
21,Patrick Mahomes,15
16,JuJu Smith-Schuster,16
19,Dalvin Cook,17
18,Joe Mixon,18
14,Todd Gurley,19
23,George Kittle,20
17,Tyreek Hill,21
20,Mike Evans,22
22,Antonio Brown,23
28,Damien Williams,24
30,Melvin Gordon,25
25,Zach Ertz,26
36,Marlon Mack,27
24,Keenan Allen,28
26,Adam Thielen,29
33,T.Y. Hilton,30
32,Amari Cooper,31
34,Aaron Jones,32
39,Derrick Henry,33
31,Devonta Freeman,34
29,Kerryon Johnson,35
27,Leonard Fournette,36
35,Stefon Diggs,37
41,Robert Woods,38
48,Deshaun Watson,39
54,Aaron Rodgers,40
40,Brandin Cooks,41
37,Julian Edelman,42
45,Chris Godwin,43
38,Josh Jacobs,44
43,Kenny Golladay,45
44,Mark Ingram,46
60,Baker Mayfield,47
46,Sony Michel,48
51,O.J. Howard,49
81,Andrew Luck,50
53,Phillip Lindsay,51
49,David Montgomery,52
50,Evan Engram,53
55,Hunter Henry,54
42,Chris Carson,55
68,Allen Robinson,56
47,Tyler Lockett,57
94,Mike Williams,58
67,Matt Ryan,59
114,Chicago Bears,60
52,Cooper Kupp,61
57,Tyler Boyd,62
62,Jared Cook,63
86,Russell Wilson,64
59,Calvin Ridley,65
73,Drew Brees,66
64,Jarvis Landry,67
58,A.J. Green,68
134,Los Angeles Rams,69
63,Tevin Coleman,70
80,Cam Newton,71
65,Alshon Jeffery,72
75,Eric Ebron,73
168,Greg Zuerlein,74
66,Tarik Cohen,75
61,D.J. Moore,76
69,Kenyan Drake,77
142,Jacksonville Jaguars,78
56,James White,79
70,Robby Anderson,80
82,Carson Wentz,81
102,Kyler Murray,82
183,Harrison Butker,83
163,Baltimore Ravens,84
175,Justin Tucker,85
85,David Njoku,86
74,Vance McDonald,87
149,Minnesota Vikings,88
78,Will Fuller,89
96,Jordan Howard,90
184,Stephen Gostkowski,91
79,Christian Kirk,92
92,Corey Davis,93
76,Sammy Watkins,94
83,Lamar Miller,95
100,Josh Gordon,96
71,Miles Sanders,97
84,Latavius Murray,98
89,Jared Goff,99
159,Los Angeles Chargers,100
77,Derrius Guice,101
187,Wil Lutz,102
88,Dede Westbrook,103
178,Cleveland Browns,104
108,Tom Brady,105
93,Curtis Samuel,106
72,Austin Ekeler,107
91,Sterling Shepard,108
87,Rashaad Penny,109
101,Austin Hooper,110
97,Duke Johnson,111
196,Ka'imi Fairbairn,112
98,Dante Pettis,113
95,Royce Freeman,114
99,Larry Fitzgerald,115
90,Marvin Jones,116
115,Kareem Hunt,117
103,Ben Roethlisberger,118
109,Lamar Jackson,119
170,Jason Witten,120
176,Houston Texans,121
107,Delanie Walker,122
112,Dak Prescott,124
171,Nick Foles,125
105,LeSean McCoy,126
117,Jameis Winston,127
162,Matthew Stafford,128
186,Jerick McKinnon,129
177,New England Patriots,130
238,Rob Gronkowski,131
155,Derek Carr,132
118,Philip Rivers,133
124,Kyle Rudolph,134
208,Ted Ginn,135
122,Keke Coutee,136
201,Randall Cobb,137
106,Courtland Sutton,138
111,DeSean Jackson,139
231,Rex Burkhead,140
136,Darwin Thompson,141
104,Emmanuel Sanders,142
138,Tony Pollard,143
131,Golden Tate,144
140,Adrian Peterson,145
146,N'Keal Harry,146
235,Atlanta Falcons,147
195,Tyler Eifert,148
113,Matt Breida,149
120,James Washington,150
226,Carolina Panthers,151
174,New Orleans Saints,152
145,Carlos Hyde,153
133,Mitch Trubisky,154
161,Mecole Hardman,155
123,Mark Andrews,156
143,Greg Olsen,157
110,Marquez Valdes-Scantling,158
128,Michael Gallup,159
135,DK Metcalf,160
166,Kenny Stills,161
137,Kirk Cousins,162
125,Kalen Ballage,163
211,TreQuan Smith,164
192,Adam Humphries,165
179,C.J. Anderson,166
202,Robbie Gould,167
167,Sam Darnold,168
205,Nelson Agholor,169
207,Green Bay Packers,170
148,Devin Funchess,171
223,Donta Foreman,172
132,Trey Burton,173
119,Geronimo Allison,174
150,Nyheim Hines,175
126,Jaylen Samuels,176
212,Adam Vinatieri,177
151,Justin Jackson,178
213,Mason Crosby,179
127,Donte Moncrief,180
198,Pittsburgh Steelers,181
239,Detroit Lions,182
141,Tyrell Williams,183
116,Peyton Barber,184
160,Damien Harris,185
203,Parris Campbell,186
154,Mohamed Sanu,187
182,Marquise Brown,188
188,Marquise Goodwin,189
144,Anthony Miller,190
152,T.J. Hockenson,191
180,Deebo Samuel,192
217,Mike Davis,193
147,Jimmy Graham,194
156,Devin Singletary,195
130,Ronald Jones,196
165,Justice Hill,197
157,Jamison Crowder,198
173,Noah Fant,199
139,Dion Lewis,200
172,Alexander Mattison,201
199,Kansas City Chiefs,202
221,DeVante Parker,203
153,Jimmy Garoppolo,204
193,Dallas Cowboys,205
236,New York Jets,206
181,Darren Waller,207
185,Ito Smith,208
164,John Brown,209
206,Chris Herndon,210
190,Philadelphia Eagles,211
158,Josh Allen,213
232,Chris Boswell,214
129,Jordan Reed,215
210,Tennessee Titans,217
234,San Francisco 49ers,218
169,Jack Doyle,219
194,Dallas Goedert,220
191,Denver Broncos,221
230,Jason Myers,222
215,Mike Badgley,223
189,Buffalo Bills,224
227,Seattle Seahawks,225
218,Matt Prater,226
219,Brett Maher,227
214,Jake Elliott,229
204,Indianapolis Colts,230
121,Darrell Henderson,231
197,Chris Thompson,232
200,Jalen Richard,233
209,DaeSean Hamilton,234
216,Giovani Bernard,235
220,Jamaal Williams,236
222,Zay Jones,237
224,Albert Wilson,238
225,Cole Beasley,239
228,Marcus Mariota,240
229,Andy Dalton,241
233,Joe Flacco,242
237,Marqise Lee,243
240,Ben Watson,244
241,Eli Manning,245
242,Cameron Brate,246
243,Jalen Hurd,247
244,Dwayne Haskins,248
245,Daniel Jones,249
246,Jay Ajayi,250
247,Preston Williams,251
248,Demaryius Thomas,252
249,Hunter Renfrow,253
250,Phillip Dorsett,254
